"title","year","awards","nominations","best_picture"
"Spotlight  ",2015,2,6,true
"Mad Max: Fury Road ",2015,6,10,
"The Revenant   ",2015,3,12,
"Bridge of Spies",2015,1,6,
"The Big Short  ",2015,1,5,
"The Danish Girl",2015,1,4,
"Room   ",2015,1,4,
"Ex Machina ",2015,1,2,
"The Hateful Eight  ",2015,1,2,
"Inside Out ",2015,1,2,
"Amy",2015,1,1,
"Bear Story ",2015,1,1,
"A Girl in the River: The Price of Forgiveness  ",2015,1,1,
"Son of Saul",2015,1,1,
"Spectre",2015,1,1,
"Stutterer  ",2015,1,1,"title","year","awards","nominations","best_picture"
"Birdman",2014,4,9,true
"The Grand Budapest Hotel",2014,4,9,
"Whiplash",2014,3,5,
"The Imitation Game",2014,1,8,
"American Sniper",2014,1,6,
"Boyhood",2014,1,6,
"Interstellar",2014,1,5,
"The Theory of Everything",2014,1,5,
"Ida",2014,1,2,
"Selma",2014,1,2,
"Citizenfour",2014,1,1,
"Big Hero 6",2014,1,1,
"Crisis Hotline: Veterans Press 1",2014,1,1,
"The Phone Call",2014,1,1,
"Still Alice",2014,1,1,
"Feast",2014,1,1,"title","year","awards","nominations","best_picture"
"12 Years a Slave",2013,3,9,true
"Gravity",2013,7,10,
"Dallas Buyers Club",2013,3,6,
"Frozen",2013,2,2,
"The Great Gatsby",2013,2,2,
"Her",2013,1,5,
"Blue Jasmine",2013,1,3,
"Mr Hublot",2013,1,1,
"The Lady in Number 6: Music Saved My Life",2013,1,1,
"Helium",2013,1,1,
"The Great Beauty",2013,1,1,
"20 Feet from Stardom",2013,1,1,